genes	TCGA-55-8615-01A-11R-2403-07	TCGA-50-5051-01A-21R-1858-07	TCGA-NJ-A7XG-01A-12R-A39D-07	TCGA-91-6848-01A-11R-1949-07	TCGA-MP-A4T8-01A-11R-A24X-07	TCGA-55-6970-01A-11R-1949-07	TCGA-86-8359-01A-11R-2326-07	TCGA-64-1679-01A-21R-2066-07	TCGA-50-6595-01A-12R-1858-07	TCGA-99-8025-01A-11R-2241-07	TCGA-50-6594-01A-11R-1755-07	TCGA-64-1677-01A-01R-0946-07	TCGA-05-5420-01A-01R-1628-07	TCGA-75-5126-01A-01R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-99-7458-01A-11R-2039-07	TCGA-MP-A4TC-01A-11R-A24X-07	TCGA-05-4384-01A-01R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-95-A4VP-01A-21R-A262-07
ENSG00000002330	498.884006269411	764.0091623388	647.600405917005	453.037855194209	451.658218118894	523.786305418253	414.158005229215	535.786470446215	481.767753718754	619.600651889791	322.356565627059	590.994433499322	465.721968768656	540.714049156998	473.110636673687	507.132099534366	510.369547443936	570.363537972174	412.704523767379	553.885721117192
ENSG00000002549	3013.84180008536	3618.3782292955	5265.73659790283	3893.34343228539	6743.67519178842	6712.02465562119	3485.21234451631	6023.16947112345	9478.31385837406	5753.01838199489	4918.23678125679	3730.59874865232	4996.82831703909	3528.51372450995	4987.0939435179	5850.17430937756	5671.7369483088	4822.71535437497	4712.75860940428	4309.5148564053
ENSG00000002586	17856.5169300311	5377.83143048203	5683.44669163619	3741.80171647989	5998.91807487635	7930.61705136418	4848.5013831636	7602.26381869213	5387.12766433982	9853.83797349817	7022.8526275416	9348.68576076183	7443.74477077804	5575.60194589777	12326.2953910606	7667.59035294553	7571.2961987306	5576.59599924988	6261.34349759201	5065.46892839351
ENSG00000002587	185.573230814697	842.604205105752	1704.11711708897	377.770937648779	286.641908089709	602.045377771143	1669.01320941868	930.358557272315	772.744940059496	694.972584821802	130.604247354416	1187.75463545353	771.865495732213	752.929740303762	858.348097113802	733.205919117516	1025.75613411662	406.501075635255	283.179178378459	1506.90034426327
ENSG00000002726	710.051744870026	135.44977230303	2265.26048939181	704.542489657422	24.359995460301	36.1295682196539	310.086368134995	284.858855082148	359.296543149767	195.635129256633	521.091540173383	2175.34247116505	6537.17502179359	461.970176580769	179.16856462638	203.538242472623	341.249788894238	255.841126243019	295.569276026437	320.054903016163
ENSG00000002745	30.0790167859114	656.112454825311	39.3386578297428	1.42488504766911	20.6284652478415	41.1073639136039	8.20757220935406	7.21639496023839	5.96870928259692	8.65502464235503	11.4776361768919	9.56165570587165	4.65235137337162	6.59443036161306	19.9942572177498	13.9085384353518	22.776705078417	18.3968568799643	16.0526628686142	152.812279031796
ENSG00000002746	156.616837434159	22.7279423417092	197.469463232214	213.922305413382	55.5083371473986	36.663961427255	312.818492617506	70.7042927114972	69.2522438469373	65.8915700904209	160.566603622907	98.9938762413153	24.8572743519093	333.019051266677	103.459132627827	112.380821863595	113.964644709152	97.7471835902498	102.187177145575	31.5213121227916
ENSG00000002822	68.0157887832253	28.7563685694652	68.8654356106005	53.7724344141309	35.6835093270823	42.5100454977822	73.3545574291	48.730987710725	35.1843042554142	51.7017975217467	79.9290200132926	21.2642916548711	25.4658176055352	51.9942794323114	50.8464996674668	58.4228948818529	58.5141117344157	51.0554579920966	53.0928089251667	97.367181154205
ENSG00000002834	10568.3470692384	8975.51232289126	15228.8538322061	11861.3127834209	9919.44046276413	8913.66536513474	15636.0248958445	14029.300688784	12050.1483329048	16027.6696097596	11225.2560434413	13062.8252580762	10288.6209976314	9312.71254103422	12183.0832055004	13999.4832680724	8197.54598004133	15858.1146500779	11273.7961089236	9074.52401486026
ENSG00000002919	1091.80227797569	1398.54753297485	1338.14407993698	1561.64896946384	1479.50169994454	1187.2660948679	1863.77353061661	1340.13398671921	1506.39609421129	1541.58390549284	1119.46197689438	1087.4170657802	2142.70963891929	1316.42865258682	1405.78105785719	1659.92273098302	1268.10822213868	1235.55403854797	1242.6210807301	1552.45456101988
ENSG00000002933	6747.76608452964	10554.2005498689	10648.6214873296	4498.09309870337	1358.74085534293	2642.95362796539	3396.92836079463	2907.32957154672	4510.70427078627	2729.50336498837	1728.67789639294	4882.45103420627	5524.80524218839	3871.70199578433	2001.78558095611	2779.68618438177	4342.00821199783	3260.62975960832	2130.81570103944	2193.77281205566
ENSG00000003056	3658.36868658974	3294.48051345052	4884.00502753806	4071.86715488531	3770.70381035635	2907.95841948319	2415.69312274837	3479.75988384941	4549.24154951042	3243.56248524444	2137.46781536004	2717.13299676737	3188.96848038873	3975.27748014241	3488.76464818332	3167.99595819096	2796.27932746833	3038.40210232482	2596.72725469293	3239.80772104794
